"","days","infections","variant","I","day","Rt","rtlowci","rtupci","I_025","I_975"
"1",2023-01-05,"0","BQ.1_infections","0","1",NA,NA,NA,NA,NA
"2",2023-01-06,"0","BQ.1_infections","0","2",NA,NA,NA,NA,NA
"3",2023-01-07,"0","BQ.1_infections","0","3",NA,NA,NA,NA,NA
"4",2023-01-08,"10215","BQ.1_infections","2350","4",NA,NA,NA,NA,NA
"5",2023-01-09,"10049","BQ.1_infections","2225","5",NA,NA,NA,NA,NA
"6",2023-01-10,"9882","BQ.1_infections","2103","6","1.04877998048557","0.985782392460174","1.1505107985047",NA,NA
"7",2023-01-11,"9715","BQ.1_infections","1985","7","0.948171300115177","0.909638515406752","1.02517289076304",NA,NA
"8",2023-01-12,"9548","BQ.1_infections","1869","8","0.877483029651265","0.852259908680649","0.920067955099568",NA,NA
"9",2023-01-13,"9382","BQ.1_infections","1756","9","0.838517626142747","0.807330756349884","0.884393678073155",NA,NA
"10",2023-01-14,"9215","BQ.1_infections","1646","10","0.821181507991301","0.773478155521601","0.881002432495758",NA,NA
"11",2023-01-15,"9048","BQ.1_infections","1538","11","0.8143819810963","0.740655379255192","0.878879056769802",NA,NA
"12",2023-01-16,"8864","BQ.1_infections","1456","12","0.811775649676153","0.728543847843452","0.877564436985232",NA,NA
"13",2023-01-17,"8680","BQ.1_infections","1376","13","0.810293077945833","0.72647073077358","0.87607265903523",NA,NA
"14",2023-01-18,"8496","BQ.1_infections","1299","14","0.808880960397774","0.724215103495082","0.875832621106422",NA,NA
"15",2023-01-19,"8312","BQ.1_infections","1223","15","0.806351331754981","0.720246940767696","0.872909740844631",NA,NA
"16",2023-01-20,"8128","BQ.1_infections","1150","16","0.802592417363872","0.716431283299204","0.868748951023936",NA,NA
"17",2023-01-21,"7945","BQ.1_infections","1078","17","0.798220823075173","0.711311306758544","0.867765427230707",NA,NA
"18",2023-01-22,"7761","BQ.1_infections","1009","18","0.792921414288589","0.705696149820144","0.862496348017448",NA,NA
"19",2023-01-23,"7603","BQ.1_infections","956","19","0.791997339560523","0.702862584825404","0.862593889186008",NA,NA
"20",2023-01-24,"7445","BQ.1_infections","904","20","0.793622704148228","0.704657946776647","0.866710953265082",NA,NA
"21",2023-01-25,"7287","BQ.1_infections","854","21","0.799021803219","0.705738224030901","0.872961659597833",NA,NA
"22",2023-01-26,"7129","BQ.1_infections","805","22","0.805668064726194","0.711861336372703","0.877798268660396",NA,NA
"23",2023-01-27,"6972","BQ.1_infections","757","23","0.813720568867126","0.721775122699679","0.885012424501008",NA,NA
"24",2023-01-28,"6814","BQ.1_infections","711","24","0.823637485353513","0.732850990832962","0.891660441403176",NA,NA
"25",2023-01-29,"6656","BQ.1_infections","666","25","0.8340798166307","0.746267385597695","0.899059881318533",NA,NA
"26",2023-01-30,"6531","BQ.1_infections","616","26","0.840261364429146","0.755143446670157","0.90293670310948",NA,NA
"27",2023-01-31,"6406","BQ.1_infections","567","27","0.840989147403773","0.761602671866432","0.89988323557949",NA,NA
"28",2023-02-01,"6281","BQ.1_infections","520","28","0.837450449978243","0.763703386532938","0.894849376669775",NA,NA
"29",2023-02-02,"6156","BQ.1_infections","475","29","0.831490588753849","0.75930784276621","0.891025063895973",NA,NA
"30",2023-02-03,"6031","BQ.1_infections","431","30","0.82488157642129","0.750564410805559","0.885990209654559",NA,NA
"31",2023-02-04,"5906","BQ.1_infections","388","31","0.816847441812983","0.741261511483779","0.879032116144369",NA,NA
"32",2023-02-05,"5781","BQ.1_infections","347","32","0.793194429571353","0.715848495389815","0.858020158548759",NA,NA
"33",2023-02-06,"5683","BQ.1_infections","357","33","0.791074518607484","0.710573234079292","0.861866579767219",NA,NA
"34",2023-02-07,"5586","BQ.1_infections","367","34","0.797889779504454","0.711793750366816","0.874658990285522",NA,NA
"35",2023-02-08,"5488","BQ.1_infections","376","35","0.80406548953993","0.710008649253524","0.880190848960316",NA,NA
"36",2023-02-09,"5390","BQ.1_infections","385","36","0.803605687955027","0.708084030886865","0.875055462532342",NA,NA
"37",2023-02-10,"5293","BQ.1_infections","393","37","0.79622272265933","0.707969345240199","0.86863557564002",NA,NA
"38",2023-02-11,"5195","BQ.1_infections","401","38","0.781800976689095","0.697260213557943","0.851187768444039",NA,NA
"39",2023-02-12,"5097","BQ.1_infections","408","39","0.764172602416933","0.675693201142397","0.842065557456073",NA,NA
"40",2023-02-13,"5003","BQ.1_infections","357","40","0.742210627947653","0.653396266415012","0.821354733118518",NA,NA
"41",2023-02-14,"4908","BQ.1_infections","309","41","0.716686297688762","0.624469136889217","0.799884011165422",NA,NA
"42",2023-02-15,"4814","BQ.1_infections","261","42","0.7058878854154","0.603205273837537","0.796230559555211",NA,NA
"43",2023-02-16,"4719","BQ.1_infections","216","43","0.711717739771301","0.596206482057501","0.813542356625903",NA,NA
"44",2023-02-17,"4625","BQ.1_infections","172","44","0.732058733833921","0.606900718147516","0.841410240873478",NA,NA
"45",2023-02-18,"4530","BQ.1_infections","129","45","0.769897217082345","0.636509898651117","0.871846376200629",NA,NA
"46",2023-02-19,"4436","BQ.1_infections","0","46","0.820239938691463","0.688326165094672","0.914334856871967",NA,NA
"47",2023-02-20,"4346","BQ.1_infections","93","47","0.882516618357345","0.756715466761728","0.965578989302081",NA,NA
