"","Collection.date","pango_lineage","n","freq","movavg","ShortLin"
"1",2023-06-01,"XBB.1.5",4,21.05,NA,"XBB.1"
"2",2023-08-10,"EG.5.1",5,20.83,10.36,"EG.5"
"3",2023-06-27,"XBB.1.9.1",4,19.05,10.27,"XBB.1"
"4",2023-06-12,"XBB.1.5",3,17.65,11.38,"XBB.1"
"5",2023-06-01,"XBB.1.9.1",3,15.79,NA,"XBB.1"
"6",2023-07-03,"XBB.1.16",2,14.29,9.29,"XBB.1"
"7",2023-07-07,"XBB.1.9.1",2,14.29,9.89,"XBB.1"
"8",2023-06-04,"XBB.1.5.30",2,13.33,8.16,"XBB.1"
"9",2023-06-14,"EG.5.1",2,13.33,8.91,"EG.5"
"10",2023-08-04,"EG.5.1",4,12.9,9.39,"EG.5"
"11",2023-06-13,"XBB.1.5",2,12.5,12.27,"XBB.1"
"12",2023-06-13,"XBB.1.5.59",2,12.5,8.35,"XBB.1"
"13",2023-06-25,"XBB.1.5.59",2,12.5,8.35,"XBB.1"
"14",2023-08-08,"FL.1",3,12.5,7.35,"FL.1"
"15",2023-08-08,"XBB.1.16",3,12.5,7.35,"XBB.1"
"16",2023-06-12,"XBB.1.5.1",2,11.76,7.34,"XBB.1"
"17",2023-07-28,"XBB.1.16.6",4,11.76,5.98,"XBB.1"
"18",2023-06-06,"XBB.1.5",3,11.54,8.75,"XBB.1"
"19",2023-07-29,"FL.1",4,11.43,5.87,"FL.1"
"20",2023-06-29,"XBB.1.5.10",2,11.11,7.52,"XBB.1"
"21",2023-06-30,"XBB.1.16",2,11.11,7.52,"XBB.1"
"22",2023-08-01,"EG.5.1",3,11.11,7.28,"EG.5"
"23",2023-08-03,"EG.5.1",3,11.11,9.11,"EG.5"
"24",2023-06-07,"XBB.1.5",3,10.71,8.81,"XBB.1"
"25",2023-07-13,"XBB.1.5.5",2,10.53,7.12,"XBB.1"
"26",2023-07-14,"XBB.1.16.1",2,10.53,7.12,"XBB.1"
"27",2023-07-22,"EG.5.1",2,10.53,7.22,"EG.5"
"28",2023-08-02,"FL.1",3,10,5.8,"FL.1"
"29",2023-08-09,"XBB.1.16.6",2,10,6.11,"XBB.1"
"30",2023-08-04,"FL.1",3,9.68,5.85,"FL.1"
"31",2023-06-27,"XBB.1.5.55",2,9.52,7.09,"XBB.1"
"32",2023-08-07,"EG.5",2,9.09,5.5,"EG.5"
