"","week","who_variants","n","freq","Variant names"
"1",2021-01-04,"B.1",2,0.01,"B.1"
"2",2021-01-04,"B.1.",136,0.96,"B.1."
"3",2021-01-04,"Other",3,0.02,"Other"
"4",2021-01-04,"R.2",1,0.01,"R.2"
"5",2021-01-11,"B.1",4,0.05,"B.1"
"6",2021-01-11,"B.1.",75,0.88,"B.1."
"7",2021-01-11,"BA.1",1,0.01,"BA.1"
"8",2021-01-11,"Other",5,0.06,"Other"
"9",2021-01-18,"B.1",3,0.03,"B.1"
"10",2021-01-18,"B.1.",84,0.79,"B.1."
"11",2021-01-18,"Other",19,0.18,"Other"
"12",2021-01-18,"P.2",1,0.01,"P.2"
"13",2021-01-25,"B.1",1,0.01,"B.1"
"14",2021-01-25,"B.1.",96,0.92,"B.1."
"15",2021-01-25,"Other",6,0.06,"Other"
"16",2021-01-25,"R.1",1,0.01,"R.1"
"17",2021-02-01,"B.1",1,0.01,"B.1"
"18",2021-02-01,"B.1.",85,0.89,"B.1."
"19",2021-02-01,"C.23",1,0.01,"C.23"
"20",2021-02-01,"Other",7,0.07,"Other"
"21",2021-02-01,"R.1",1,0.01,"R.1"
"22",2021-02-08,"B.1",4,0.02,"B.1"
"23",2021-02-08,"B.1.",248,0.93,"B.1."
"24",2021-02-08,"Other",11,0.04,"Other"
"25",2021-02-08,"P.2",2,0.01,"P.2"
"26",2021-02-08,"R.1",1,0,"R.1"
"27",2021-02-15,"B.1",4,0.02,"B.1"
"28",2021-02-15,"B.1.",187,0.96,"B.1."
"29",2021-02-15,"Other",2,0.01,"Other"
"30",2021-02-15,"R.1",1,0.01,"R.1"
"31",2021-02-22,"B.1",2,0.01,"B.1"
"32",2021-02-22,"B.1.",223,0.94,"B.1."
"33",2021-02-22,"C.2.",5,0.02,"C.2."
"34",2021-02-22,"Other",1,0,"Other"
"35",2021-02-22,"P.2",1,0,"P.2"
"36",2021-02-22,"R.1",4,0.02,"R.1"
"37",2021-02-22,"R.2",1,0,"R.2"
"38",2021-03-01,"B.1",2,0.01,"B.1"
"39",2021-03-01,"B.1.",274,0.96,"B.1."
"40",2021-03-01,"P.1",3,0.01,"P.1"
"41",2021-03-01,"R.1",6,0.02,"R.1"
"42",2021-03-01,"R.2",1,0,"R.2"
"43",2021-03-08,"A.23",2,0,"A.23"
"44",2021-03-08,"B.1",1,0,"B.1"
"45",2021-03-08,"B.1.",517,0.95,"B.1."
"46",2021-03-08,"P.1",5,0.01,"P.1"
"47",2021-03-08,"P.2",5,0.01,"P.2"
"48",2021-03-08,"R.1",12,0.02,"R.1"
"49",2021-03-08,"R.2",2,0,"R.2"
"50",2021-03-15,"B.1",6,0.01,"B.1"
"51",2021-03-15,"B.1.",624,0.97,"B.1."
"52",2021-03-15,"P.1",1,0,"P.1"
"53",2021-03-15,"R.1",12,0.02,"R.1"
"54",2021-03-22,"B.1",1,0,"B.1"
"55",2021-03-22,"B.1.",701,0.98,"B.1."
"56",2021-03-22,"C.37",2,0,"C.37"
"57",2021-03-22,"P.1",5,0.01,"P.1"
"58",2021-03-22,"P.1.",2,0,"P.1."
"59",2021-03-22,"R.1",6,0.01,"R.1"
"60",2021-03-29,"B.1",1,0,"B.1"
"61",2021-03-29,"B.1.",329,0.96,"B.1."
"62",2021-03-29,"P.1",5,0.01,"P.1"
"63",2021-03-29,"P.1.",1,0,"P.1."
"64",2021-03-29,"Q.1",1,0,"Q.1"
"65",2021-03-29,"Q.3",1,0,"Q.3"
"66",2021-03-29,"R.1",4,0.01,"R.1"
"67",2021-04-05,"B.1",6,0.01,"B.1"
"68",2021-04-05,"B.1.",980,0.96,"B.1."
"69",2021-04-05,"C.37",5,0,"C.37"
"70",2021-04-05,"P.1",16,0.02,"P.1"
"71",2021-04-05,"P.1.",8,0.01,"P.1."
"72",2021-04-05,"Q.3",2,0,"Q.3"
"73",2021-04-05,"Q.4",3,0,"Q.4"
"74",2021-04-05,"R.1",5,0,"R.1"
"75",2021-04-12,"B.1",7,0.01,"B.1"
"76",2021-04-12,"B.1.",644,0.95,"B.1."
"77",2021-04-12,"C.37",1,0,"C.37"
"78",2021-04-12,"P.1",11,0.02,"P.1"
"79",2021-04-12,"P.1.",9,0.01,"P.1."
"80",2021-04-12,"Q.3",1,0,"Q.3"
"81",2021-04-12,"Q.4",2,0,"Q.4"
