"","Collection.date","pango_lineage","n","freq","movavg","ShortLin"
"1",2023-01-23,"XBB.1.5",67,69.07,58.92,"XBB"
"2",2023-02-13,"XBB.1.5",40,67.8,58.24,"XBB"
"3",2023-02-21,"XBB.1.5",35,67.31,61.94,"XBB"
"4",2023-02-20,"XBB.1.5",33,66,63.04,"XBB"
"5",2023-02-14,"XBB.1.5",35,64.81,63.14,"XBB"
"6",2023-01-30,"XBB.1.5",39,61.9,53.72,"XBB"
"7",2023-01-24,"XBB.1.5",45,61.64,60.79,"XBB"
"8",2023-02-04,"XBB.1.5",40,61.54,58.12,"XBB"
"9",2023-02-01,"XBB.1.5",38,61.29,55.28,"XBB"
"10",2023-01-26,"XBB.1.5",44,60.27,54.27,"XBB"
"11",2023-02-16,"XBB.1.5",29,59.18,53.37,"XBB"
"12",2023-02-06,"XBB.1.5",46,57.5,55.94,"XBB"
"13",2023-02-05,"XBB.1.5",33,56.9,58.65,"XBB"
"14",2023-02-15,"XBB.1.5",25,56.82,60.27,"XBB"
"15",2023-02-24,"XBB.1.5",22,56.41,51.4,"XBB"
"16",2023-02-03,"XBB.1.5",33,55.93,57.01,"XBB"
"17",2023-02-19,"XBB.1.5",24,55.81,52.83,"XBB"
"18",2023-02-08,"XBB.1.5",39,54.93,50.74,"XBB"
"19",2023-02-02,"XBB.1.5",30,53.57,56.93,"XBB"
"20",2023-02-07,"XBB.1.5",39,53.42,55.28,"XBB"
"21",2023-02-23,"XBB.1.5",20,52.63,53.85,"XBB"
"22",2023-01-28,"XBB.1.5",31,52.54,50.57,"XBB"
"23",2023-02-22,"XBB.1.5",21,52.5,57.48,"XBB"
"24",2023-01-21,"XBB.1.5",42,51.85,49.51,"XBB"
"25",2023-01-25,"XBB.1.5",31,51.67,57.86,"XBB"
"26",2023-02-26,"XBB.1.5",19,51.35,49.22,"XBB"
"27",2023-02-27,"XBB.1.5",22,51.16,49.49,"XBB"
"28",2023-01-31,"XBB.1.5",26,50.98,58.06,"XBB"
"29",2023-01-27,"XBB.1.5",29,50.88,54.56,"XBB"
"30",2023-01-20,"XBB.1.5",41,50.62,48.92,"XBB"
"31",2023-03-01,"XBB.1.5",21,50,42.74,"XBB"
"32",2023-03-09,"XBB.1.5",16,48.48,44.31,"XBB"
"33",2023-01-09,"XBB.1.5",46,48.42,36.74,"XBB"
"34",2023-03-27,"XBB.1.5",15,48.39,32.94,"XBB"
"35",2023-01-29,"XBB.1.5",28,48.28,54.24,"XBB"
"36",2023-02-11,"XBB.1.5",30,47.62,43.49,"XBB"
"37",2022-12-31,"XBB.1.5",34,46.58,38.67,"XBB"
"38",2023-01-22,"XBB.1.5",35,46.05,55.66,"XBB"
"39",2023-02-28,"XBB.1.5",17,45.95,49.04,"XBB"
"40",2023-03-07,"XBB.1.5",16,45.71,45.34,"XBB"
"41",2023-02-25,"XBB.1.5",14,45.16,50.97,"XBB"
"42",2023-03-06,"XBB.1.5",14,45.16,42.79,"XBB"
"43",2023-03-08,"XBB.1.5",14,45.16,46.45,"XBB"
"44",2023-03-13,"XBB.1.5",18,45,35.32,"XBB"
"45",2023-01-19,"XBB.1.5",35,44.3,44.66,"XBB"
"46",2023-02-17,"XBB.1.5",15,44.12,46.66,"XBB"
"47",2023-02-09,"XBB.1.5",25,43.86,46.51,"XBB"
"48",2023-01-02,"XBB.1.5",62,42.76,35.33,"XBB"
"49",2023-02-12,"XBB.1.5",24,42.11,52.51,"XBB"
"50",2023-01-17,"XBB.1.5",29,42.03,40.36,"XBB"
"51",2023-03-11,"XBB.1.5",13,41.94,34.65,"XBB"
"52",2023-03-20,"XBB.1.5",18,41.86,30.33,"XBB"
"53",2023-02-10,"XBB.1.5",22,40.74,44.07,"XBB"
"54",2022-12-30,"XBB.1.5",28,40.58,37.83,"XBB"
"55",2023-01-16,"XBB.1.5",28,40,39.9,"XBB"
"56",2023-03-16,"XBB.1.5",14,40,28.67,"XBB"
"57",2023-03-10,"XBB.1.5",11,39.29,43.24,"XBB"
"58",2023-01-18,"XBB.1.5",25,39.06,41.8,"XBB"
"59",2023-01-12,"XBB.1.5",31,38.27,35.95,"XBB"
"60",2023-03-14,"XBB.1.5",13,38.24,37.75,"XBB"
